I_mag	crit_current_neg	crit_current_pos
-0.002	-1094.0	1234.0
-0.00195	-1166.0	1322.0
-0.0019	-1270.0	1398.0
-0.00185	-1366.0	1446.0
-0.0018	-1434.0	1454.0
-0.00175	-1454.0	1418.0
-0.0017	-1434.0	1334.0
-0.00165	-1374.0	1222.0
-0.0016	-1294.0	1110.0
-0.00155	-1198.0	1066.0
-0.0015	-1106.0	1106.0
-0.00145	-1058.0	1194.0
-0.0014	-1090.0	1290.0
-0.00135	-1214.0	1374.0
-0.0013	-1342.0	1446.0
-0.00125	-1442.0	1482.0
-0.0012	-1478.0	1470.0
-0.00115	-1466.0	1402.0
-0.0011	-1406.0	1254.0
-0.00105	-1334.0	1114.0
-0.001	-1238.0	1054.0
-0.00095	-1122.0	1078.0
-0.0009	-1058.0	1146.0
-0.00085	-1042.0	1242.0
-0.0008	-1130.0	1334.0
-0.00075	-1286.0	1422.0
-0.0007	-1438.0	1494.0
-0.00065	-1490.0	1502.0
-0.0006	-1494.0	1458.0
-0.00055	-1442.0	1326.0
-0.0005	-1382.0	1186.0
-0.00045	-1258.0	1038.0
-0.0004	-1178.0	1030.0
-0.00035	-1078.0	1094.0
-0.0003	-1018.0	1214.0
-0.00025	-1054.0	1298.0
-0.0002	-1258.0	1406.0
-0.00015	-1402.0	1474.0
-0.0001	-1474.0	1506.0
-4.99999999999999e-05	-1502.0	1478.0
0.0	-1474.0	1414.0
2e-05	-1446.0	1350.0
4e-05	-1418.0	1286.0
6e-05	-1386.0	1218.0
8e-05	-1354.0	1154.0
0.0001	-1318.0	1094.0
0.00012	-1282.0	1050.0
0.00014	-1242.0	1014.0
0.00016	-1202.0	1022.0000000000001
0.00018	-1162.0	1034.0
0.0002	-1118.0	1058.0
0.00022	-1082.0	1098.0
0.00024	-1050.0	1138.0
0.00026	-1026.0	1182.0
0.00028	-1014.0	1222.0
0.0003	-1018.0	1262.0
0.00032	-1058.0	1298.0
0.00034	-1118.0	1342.0
0.00036	-1182.0	1370.0
0.00038	-1254.0	1406.0
0.0004	-1322.0	1438.0
0.00042	-1382.0	1466.0
0.00044	-1426.0	1486.0
0.00046	-1466.0	1498.0
0.00048	-1486.0	1506.0
0.0005	-1506.0	1506.0
0.00052	-1510.0	1494.0
0.00054	-1502.0	1474.0
0.00056	-1486.0	1442.0
0.00058	-1470.0	1394.0
0.0006	-1442.0	1338.0
0.00062	-1414.0	1274.0
0.00064	-1382.0	1206.0
0.00066	-1346.0	1138.0
0.00068	-1314.0	1082.0
0.0007	-1274.0	1034.0
0.00072	-1238.0	1018.0
0.00074	-1186.0	1026.0
0.00076	-1142.0	1046.0
0.00078	-1106.0	1078.0
0.0008	-1070.0	1122.0
0.00082	-1042.0	1158.0
0.00084	-1022.0000000000001	1198.0
0.00086	-1026.0	1246.0
0.00088	-1038.0	1286.0
0.0009	-1102.0	1326.0
0.00092	-1150.0	1362.0
0.00094	-1218.0	1398.0
0.00096	-1286.0	1426.0
0.00098	-1350.0	1458.0
0.001	-1406.0	1490.0
0.00102	-1458.0	1506.0
0.00104	-1494.0	1514.0
0.00106	-1502.0	1510.0
0.00108	-1510.0	1502.0
0.0011	-1510.0	1486.0
0.00112	-1498.0	1458.0
0.00114	-1482.0	1422.0
0.00116	-1458.0	1374.0
0.00118	-1434.0	1318.0
0.0012	-1402.0	1246.0
0.00122	-1366.0	1178.0
0.00124	-1330.0	1110.0
0.00126	-1290.0	1058.0
0.00128	-1250.0	1026.0
0.0013	-1210.0	1022.0000000000001
0.00132	-1166.0	1030.0
0.00134	-1130.0	1062.0
0.00136	-1094.0	1098.0
0.00138	-1062.0	1134.0
0.0014	-1038.0	1178.0
0.00142	-1026.0	1218.0
0.00144	-1034.0	1258.0
0.00146	-1062.0	1298.0
0.00148	-1114.0	1334.0
0.0015	-1170.0	1366.0
0.00152	-1238.0	1398.0
0.00154	-1302.0	1430.0
0.00156	-1358.0	1458.0
0.00158	-1406.0	1478.0
0.0016	-1446.0	1490.0
0.00162	-1474.0	1498.0
0.00164	-1494.0	1498.0
0.00166	-1498.0	1490.0
0.00168	-1502.0	1470.0
0.0017	-1490.0	1438.0
0.00172	-1470.0	1386.0
0.00174	-1434.0	1330.0
0.00176	-1406.0	1274.0
0.00178	-1374.0	1214.0
0.0018	-1342.0	1158.0
0.00182	-1306.0	1098.0
0.00184	-1266.0	1062.0
0.00186	-1226.0	1034.0
0.00188	-1190.0	1038.0
0.0019	-1154.0	1050.0
0.00192	-1122.0	1074.0
0.00194	-1082.0	1110.0
0.00196	-1058.0	1146.0
0.00198	-1038.0	1186.0
0.002	-1042.0	1226.0
0.00202	-1054.0	1266.0
0.00204	-1090.0	1306.0
0.00206	-1142.0	1342.0
0.00208	-1202.0	1378.0
0.0021	-1254.0	1398.0
0.00212	-1306.0	1430.0
0.00214	-1358.0	1450.0
0.00216	-1398.0	1466.0
0.00218	-1438.0	1478.0
0.0022	-1458.0	1474.0
0.00222	-1474.0	1470.0
0.00224	-1478.0	1450.0
0.00226	-1474.0	1430.0
0.00228	-1462.0	1394.0
0.0023	-1450.0	1354.0
0.00232	-1426.0	1310.0
0.00234	-1394.0	1254.0
0.00236	-1366.0	1202.0
0.00238	-1338.0	1154.0
0.0024	-1290.0	1098.0
0.00242	-1254.0	1074.0
0.00244	-1214.0	1058.0
0.00246	-1178.0	1058.0
0.00248	-1142.0	1074.0
0.0025	-1110.0	1098.0
0.00252	-1086.0	1134.0
0.00254	-1066.0	1166.0
0.00256	-1062.0	1202.0
0.00258	-1070.0	1242.0
0.0026	-1098.0	1286.0
0.00262	-1134.0	1330.0
0.00264	-1178.0	1358.0
0.00266	-1230.0	1386.0
0.00268	-1278.0	1414.0
0.0027	-1326.0	1438.0
0.00272	-1362.0	1446.0
0.00274	-1398.0	1454.0
0.00276	-1422.0	1458.0
0.00278	-1442.0	1454.0
0.0028	-1454.0	1438.0
0.00282	-1458.0	1418.0
0.00284	-1458.0	1394.0
0.00286	-1450.0	1366.0
0.00288	-1430.0	1330.0
0.0029	-1410.0	1286.0
0.00292	-1378.0	1246.0
0.00294	-1354.0	1198.0
0.00296	-1314.0	1154.0
0.00298	-1278.0	1126.0
0.003	-1246.0	1106.0
0.00302	-1210.0	1102.0
0.00304	-1182.0	1102.0
0.00306	-1146.0	1110.0
0.00308	-1130.0	1134.0
0.0031	-1098.0	1158.0
0.00312	-1094.0	1182.0
0.00314	-1094.0	1218.0
0.00316	-1110.0	1254.0
0.00318	-1138.0	1294.0
0.0032	-1174.0	1330.0
0.00322	-1214.0	1358.0
0.00324	-1246.0	1386.0
0.00326	-1282.0	1402.0
0.00328	-1314.0	1422.0
0.0033	-1346.0	1430.0
0.00332	-1378.0	1434.0
0.00334	-1402.0	1422.0
0.00336	-1414.0	1414.0
0.00338	-1430.0	1394.0
0.0034	-1430.0	1374.0
0.00342	-1426.0	1354.0
0.00344	-1422.0	1330.0
0.00346	-1406.0	1298.0
0.00348	-1382.0	1266.0
0.0035	-1354.0	1238.0
0.00352	-1322.0	1202.0
0.00354	-1294.0	1170.0
0.00356	-1258.0	1142.0
0.00358	-1226.0	1270.0
0.0036	-1198.0	1118.0
0.00362	-1166.0	1122.0
0.00364	-1142.0	1130.0
0.00366	-1126.0	1146.0
0.00368	-1122.0	1174.0
0.0037	-1126.0	1202.0
0.00372	-1142.0	1238.0
0.00374	-1162.0	1270.0
0.00376	-1186.0	1302.0
0.00378	-1210.0	1334.0
0.0038	-1234.0	1358.0
0.00382	-1262.0	1378.0
0.00384	-1286.0	1390.0
0.00386	-1310.0	1398.0
0.00388	-1334.0	1406.0
0.0039	-1350.0	1402.0
0.00392	-1370.0	1390.0
0.00394	-1390.0	1370.0
0.00396	-1398.0	1358.0
0.00398	-1406.0	1338.0
0.004	-1402.0	1322.0
0.00401	-1400.0	1316.0
0.00402	-1390.0	1298.0
0.00403	-1384.0	1288.0
0.00404	-1374.0	1278.0
0.00405	-1364.0	1268.0
0.00406	-1352.0	1258.0
0.00407	-1342.0	1248.0
0.00408	-1328.0	1238.0
0.00409	-1316.0	1230.0
0.0041	-1304.0	1218.0
