I_mag	crit_current_neg	crit_current_pos
0.004	-1400.0	1314.0
0.00401	-1400.0	1316.0
0.00402	-1390.0	1298.0
0.00403	-1384.0	1288.0
0.00404	-1374.0	1278.0
0.00405	-1364.0	1268.0
0.00406	-1352.0	1258.0
0.00407	-1342.0	1248.0
0.00408	-1328.0	1238.0
0.00409	-1316.0	1230.0
0.0041	-1304.0	1218.0
0.00411	-1288.0	1204.0
0.00412	-1274.0	1194.0
0.00413	-1258.0	1182.0
0.00414	-1244.0	1172.0
0.00415	-1226.0	1164.0
0.00416	-1212.0	1156.0
0.00417	-1200.0	1154.0
0.00418	-1200.0	1152.0
0.00419	-1180.0	1150.0
0.0042	-1172.0	1150.0
0.00421	-1168.0	1154.0
0.00422	-1162.0	1160.0
0.00423	-1160.0	1166.0
0.00424	-1162.0	1178.0
0.00425	-1164.0	1188.0
0.00426	-1166.0	1202.0
0.00427	-1170.0	1214.0
0.00428	-1178.0	1230.0
0.00429	-1186.0	1244.0
0.0043	-1194.0	1258.0
0.00431	-1194.0	1258.0
0.00432	-1214.0	1288.0
0.00433	-1220.0	1302.0
0.00434	-1230.0	1318.0
0.00435	-1230.0	1316.0
0.00436	-1246.0	1340.0
0.00437	-1254.0	1348.0
0.00438	-1258.0	1358.0
0.00439	-1266.0	1366.0
0.0044	-1270.0	1368.0
0.00441	-1280.0	1374.0
0.00442	-1284.0	1380.0
0.00443	-1292.0	1380.0
0.00444	-1298.0	1376.0
0.00445	-1304.0	1374.0
0.00446	-1312.0	1370.0
0.00447	-1320.0	1364.0
0.00448	-1320.0	1364.0
0.00449	-1332.0	1352.0
0.0045	-1342.0	1344.0
0.00451	-1350.0	1340.0
0.00452	-1350.0	1338.0
0.00453	-1364.0	1324.0
0.00454	-1370.0	1318.0
0.00455	-1374.0	1314.0
0.00456	-1378.0	1308.0
0.00457	-1378.0	1304.0
0.00458	-1378.0	1300.0
0.00459	-1376.0	1296.0
0.0046	-1372.0	1292.0
0.00461	-1368.0	1288.0
0.00462	-1360.0	1284.0
0.00463	-1352.0	1280.0
0.00464	-1342.0	1276.0
0.00465	-1340.0	1276.0
0.00466	-1318.0	1264.0
0.00467	-1318.0	1264.0
0.00468	-1292.0	1250.0
0.00469	-1280.0	1240.0
0.0047	-1266.0	1230.0
0.00471	-1256.0	1224.0
0.00472	-1244.0	1214.0
0.00473	-1232.0	1210.0
0.00474	-1222.0	1202.0
0.00475	-1212.0	1196.0
0.00476	-1208.0	1194.0
0.00477	-1202.0	1192.0
0.00478	-1204.0	1188.0
0.00479	-1196.0	1188.0
0.0048	-1196.0	1190.0
0.00481	-1200.0	1194.0
0.00482	-1200.0	1196.0
0.00483	-1208.0	1210.0
0.00484	-1208.0	1212.0
0.00485	-1220.0	1234.0
0.00486	-1228.0	1242.0
0.00487	-1234.0	1256.0
0.00488	-1242.0	1268.0
0.00489	-1250.0	1282.0
0.0049	-1256.0	1292.0
0.00491	-1262.0	1304.0
0.00492	-1264.0	1316.0
0.00493	-1268.0	1324.0
0.00494	-1268.0	1332.0
0.00495	-1268.0	1330.0
0.00496	-1270.0	1342.0
0.00497	-1270.0	1346.0
0.00498	-1270.0	1348.0
0.00499	-1270.0	1348.0
0.005	-1272.0	1348.0
0.00501	-1272.0	1346.0
0.00502	-1276.0	1340.0
0.00503	-1280.0	1334.0
0.00504	-1282.0	1326.0
0.00505	-1286.0	1320.0
0.00506	-1290.0	1312.0
0.00507	-1300.0	1304.0
0.00508	-1298.0	1308.0
0.00509	-1314.0	1296.0
0.0051	-1320.0	1292.0
0.00511	-1328.0	1288.0
0.00512	-1328.0	1288.0
0.00513	-1342.0	1282.0
0.00514	-1344.0	1282.0
0.00515	-1346.0	1284.0
0.00516	-1348.0	1286.0
0.00517	-1348.0	1290.0
0.00518	-1342.0	1290.0
0.00519	-1338.0	1290.0
0.0052	-1332.0	1294.0
0.00521	-1328.0	1296.0
0.00522	-1322.0	1294.0
0.00523	-1312.0	1294.0
0.00524	-1304.0	1290.0
0.00525	-1290.0	1284.0
0.00526	-1280.0	1276.0
0.00527	-1270.0	1274.0
0.00528	-1264.0	1266.0
0.00529	-1254.0	1260.0
0.0053	-1246.0	1252.0
0.00531	-1240.0	1244.0
0.00532	-1236.0	1240.0
0.00533	-1230.0	1232.0
0.00534	-1228.0	1228.0
0.00535	-1230.0	1226.0
0.00536	-1232.0	1226.0
0.00537	-1236.0	1222.0
0.00538	-1240.0	1222.0
0.00539	-1246.0	1228.0
0.0054	-1252.0	1230.0
0.00541	-1258.0	1236.0
0.00542	-1264.0	1242.0
0.00543	-1272.0	1252.0
0.00544	-1274.0	1254.0
0.00545	-1274.0	1262.0
0.00546	-1280.0	1274.0
0.00547	-1284.0	1286.0
0.00548	-1286.0	1292.0
0.00549	-1288.0	1298.0
0.0055	-1286.0	1308.0
0.00551	-1284.0	1312.0
0.00552	-1280.0	1314.0
0.00553	-1278.0	1318.0
0.00554	-1272.0	1318.0
0.00555	-1268.0	1316.0
0.00556	-1262.0	1314.0
0.00557	-1260.0	1312.0
0.00558	-1256.0	1308.0
0.00559	-1254.0	1306.0
0.0056	-1252.0	1296.0
0.00561	-1254.0	1290.0
0.00562	-1252.0	1280.0
0.00563	-1256.0	1274.0
0.00564	-1258.0	1268.0
0.00565	-1262.0	1260.0
0.00566	-1268.0	1260.0
0.00567	-1276.0	1260.0
0.00568	-1284.0	1260.0
0.00569	-1290.0	1258.0
0.0057	-1296.0	1260.0
0.00571	-1302.0	1268.0
0.00572	-1304.0	1268.0
0.00573	-1312.0	1278.0
0.00574	-1314.0	1284.0
0.00575	-1318.0	1290.0
0.00576	-1314.0	1296.0
0.00577	-1312.0	1300.0
0.00578	-1310.0	1302.0
0.00579	-1304.0	1306.0
0.0058	-1298.0	1310.0
0.00581	-1292.0	1312.0
0.00582	-1286.0	1314.0
0.00583	-1280.0	1314.0
0.00584	-1276.0	1310.0
0.00585	-1270.0	1306.0
0.00586	-1266.0	1300.0
0.00587	-1260.0	1298.0
0.00588	-1258.0	1288.0
0.00589	-1258.0	1288.0
0.0059	-1256.0	1274.0
0.00591	-1258.0	1266.0
0.00592	-1260.0	1264.0
0.00593	-1264.0	1256.0
0.00594	-1270.0	1252.0
0.00595	-1276.0	1252.0
0.00596	-1284.0	1252.0
0.00597	-1288.0	1252.0
0.00598	-1296.0	1250.0
0.00599	-1302.0	1254.0
0.006	-1308.0	1256.0
0.00601	-1312.0	1264.0
0.00602	-1314.0	1264.0
0.00603	-1314.0	1272.0
0.00604	-1312.0	1276.0
0.00605	-1312.0	1282.0
0.00606	-1312.0	1286.0
0.00607	-1306.0	1292.0
0.00608	-1300.0	1294.0
0.00609	-1296.0	1296.0
0.0061	-1286.0	1294.0
0.00611	-1278.0	1290.0
0.00612	-1270.0	1288.0
0.00613	-1260.0	1284.0
0.00614	-1252.0	1278.0
0.00615	-1246.0	1272.0
0.00616	-1238.0	1266.0
0.00617	-1232.0	1260.0
0.00618	-1228.0	1254.0
0.00619	-1230.0	1252.0
0.0062	-1226.0	1242.0
0.00621	-1222.0	1240.0
0.00622	-1228.0	1236.0
0.00623	-1228.0	1238.0
0.00624	-1238.0	1238.0
0.00625	-1242.0	1222.0
