I_mag	crit_current_neg	crit_current_pos
0.004	-1390.0	1324.0
0.00401	-1390.0	1324.0
0.00402	-1382.0	1310.0
0.00403	-1378.0	1302.0
0.00404	-1370.0	1292.0
0.00405	-1362.0	1284.0
0.00406	-1350.0	1274.0
0.00407	-1342.0	1266.0
0.00408	-1332.0	1256.0
0.00409	-1318.0	1246.0
0.0041	-1306.0	1232.0
0.00411	-1294.0	1220.0
0.00412	-1278.0	1206.0
0.00413	-1266.0	1196.0
0.00414	-1252.0	1186.0
0.00415	-1238.0	1174.0
0.00416	-1224.0	1166.0
0.00417	-1212.0	1160.0
0.00418	-1212.0	1162.0
0.00419	-1194.0	1154.0
0.0042	-1188.0	1156.0
0.00421	-1182.0	1156.0
0.00422	-1178.0	1160.0
0.00423	-1176.0	1166.0
0.00424	-1174.0	1172.0
0.00425	-1174.0	1182.0
0.00426	-1176.0	1194.0
0.00427	-1178.0	1206.0
0.00428	-1182.0	1218.0
0.00429	-1188.0	1230.0
0.0043	-1196.0	1244.0
0.00431	-1194.0	1244.0
0.00432	-1208.0	1270.0
0.00433	-1216.0	1284.0
0.00434	-1220.0	1296.0
0.00435	-1220.0	1298.0
0.00436	-1232.0	1318.0
0.00437	-1236.0	1330.0
0.00438	-1244.0	1338.0
0.00439	-1246.0	1346.0
0.0044	-1252.0	1350.0
0.00441	-1260.0	1358.0
0.00442	-1264.0	1360.0
0.00443	-1270.0	1360.0
0.00444	-1276.0	1362.0
0.00445	-1284.0	1360.0
0.00446	-1290.0	1356.0
0.00447	-1296.0	1356.0
0.00448	-1298.0	1356.0
0.00449	-1314.0	1346.0
0.0045	-1322.0	1342.0
0.00451	-1330.0	1336.0
0.00452	-1332.0	1336.0
0.00453	-1346.0	1326.0
0.00454	-1354.0	1322.0
0.00455	-1360.0	1316.0
0.00456	-1364.0	1314.0
0.00457	-1366.0	1310.0
0.00458	-1366.0	1306.0
0.00459	-1364.0	1304.0
0.0046	-1362.0	1300.0
0.00461	-1358.0	1298.0
0.00462	-1352.0	1294.0
0.00463	-1346.0	1290.0
0.00464	-1340.0	1288.0
0.00465	-1338.0	1286.0
0.00466	-1320.0	1276.0
0.00467	-1322.0	1274.0
0.00468	-1298.0	1260.0
0.00469	-1286.0	1250.0
0.0047	-1276.0	1242.0
0.00471	-1264.0	1234.0
0.00472	-1256.0	1222.0
0.00473	-1244.0	1216.0
0.00474	-1236.0	1204.0
0.00475	-1228.0	1200.0
0.00476	-1216.0	1192.0
0.00477	-1214.0	1190.0
0.00478	-1214.0	1192.0
0.00479	-1212.0	1190.0
0.0048	-1206.0	1188.0
0.00481	-1208.0	1190.0
0.00482	-1208.0	1190.0
0.00483	-1212.0	1202.0
0.00484	-1212.0	1200.0
0.00485	-1218.0	1218.0
0.00486	-1224.0	1228.0
0.00487	-1230.0	1240.0
0.00488	-1234.0	1252.0
0.00489	-1238.0	1262.0
0.0049	-1242.0	1272.0
0.00491	-1244.0	1282.0
0.00492	-1248.0	1294.0
0.00493	-1248.0	1302.0
0.00494	-1250.0	1312.0
0.00495	-1252.0	1314.0
0.00496	-1252.0	1326.0
0.00497	-1252.0	1330.0
0.00498	-1252.0	1332.0
0.00499	-1256.0	1338.0
0.005	-1258.0	1336.0
0.00501	-1254.0	1336.0
0.00502	-1260.0	1336.0
0.00503	-1266.0	1330.0
0.00504	-1270.0	1328.0
0.00505	-1276.0	1322.0
0.00506	-1282.0	1316.0
0.00507	-1290.0	1316.0
0.00508	-1290.0	1312.0
0.00509	-1304.0	1304.0
0.0051	-1314.0	1304.0
0.00511	-1322.0	1300.0
0.00512	-1322.0	1304.0
0.00513	-1340.0	1302.0
0.00514	-1344.0	1300.0
0.00515	-1346.0	1302.0
0.00516	-1350.0	1304.0
0.00517	-1350.0	1306.0
0.00518	-1348.0	1306.0
0.00519	-1346.0	1308.0
0.0052	-1342.0	1308.0
0.00521	-1336.0	1308.0
0.00522	-1330.0	1310.0
0.00523	-1322.0	1306.0
0.00524	-1314.0	1302.0
0.00525	-1304.0	1298.0
0.00526	-1298.0	1292.0
0.00527	-1286.0	1282.0
0.00528	-1278.0	1276.0
0.00529	-1270.0	1268.0
0.0053	-1262.0	1258.0
0.00531	-1256.0	1252.0
0.00532	-1252.0	1244.0
0.00533	-1246.0	1238.0
0.00534	-1244.0	1230.0
0.00535	-1244.0	1226.0
0.00536	-1244.0	1224.0
0.00537	-1246.0	1220.0
0.00538	-1248.0	1218.0
0.00539	-1252.0	1220.0
0.0054	-1256.0	1222.0
0.00541	-1260.0	1228.0
0.00542	-1264.0	1230.0
0.00543	-1266.0	1240.0
0.00544	-1268.0	1242.0
0.00545	-1274.0	1252.0
0.00546	-1274.0	1260.0
0.00547	-1276.0	1270.0
0.00548	-1274.0	1276.0
0.00549	-1274.0	1282.0
0.0055	-1270.0	1288.0
0.00551	-1268.0	1296.0
0.00552	-1264.0	1300.0
0.00553	-1260.0	1304.0
0.00554	-1254.0	1306.0
0.00555	-1252.0	1308.0
0.00556	-1246.0	1304.0
0.00557	-1240.0	1306.0
0.00558	-1238.0	1304.0
0.00559	-1238.0	1300.0
0.0056	-1238.0	1296.0
0.00561	-1240.0	1292.0
0.00562	-1244.0	1284.0
0.00563	-1246.0	1280.0
0.00564	-1250.0	1278.0
0.00565	-1258.0	1274.0
0.00566	-1264.0	1272.0
0.00567	-1270.0	1274.0
0.00568	-1282.0	1274.0
0.00569	-1290.0	1278.0
0.0057	-1296.0	1278.0
0.00571	-1306.0	1282.0
0.00572	-1308.0	1286.0
0.00573	-1318.0	1294.0
0.00574	-1318.0	1300.0
0.00575	-1322.0	1300.0
0.00576	-1326.0	1312.0
0.00577	-1322.0	1314.0
0.00578	-1318.0	1320.0
0.00579	-1316.0	1322.0
0.0058	-1310.0	1324.0
0.00581	-1308.0	1326.0
0.00582	-1304.0	1328.0
0.00583	-1298.0	1322.0
0.00584	-1292.0	1320.0
0.00585	-1286.0	1316.0
0.00586	-1284.0	1310.0
0.00587	-1280.0	1302.0
0.00588	-1274.0	1294.0
0.00589	-1274.0	1294.0
0.0059	-1272.0	1274.0
0.00591	-1270.0	1270.0
